,Year_0,row_id,currentWork2qcl[other]_0,currentWork2qcl
0,2026,2026_196,,Researchers in own group
1,2026,2026_200,"Researchers in our field of research, no matter which country",Researchers in own group
2,2026,2026_289,"Anyone who wants to use my software (typically researches in my field, globally)",Researchers in own group
3,2026,2026_373,,Researchers in own group
4,2026,2026_377,Researchers worldwide,Researchers in own group
5,2026,2026_386,,Researchers in own group
6,2026,2026_405,En breve también podré ofrecer soporte a grupos específicos dentro de otras instituciones de Finlandia,Researchers in own group
7,2026,2026_415,,Researchers in own group
8,2026,2026_512,,Researchers in own group
9,2026,2026_517,,Researchers in own group
10,2026,2026_543,,Researchers in own group
11,2026,2026_545,In principle anyone,Researchers in own group
12,2026,2026_554,,Researchers in own group
13,2026,2026_816,researchers anywhere via maintained public services,Researchers in own group
14,2026,2026_975,,Researchers in own group
15,2026,2026_1031,,Researchers in own group
16,2026,2026_1039,,Researchers in own group
17,2026,2026_1071,,Researchers in own group
18,2026,2026_1073,,Researchers in own group
19,2026,2026_1075,Researchers worldwide,Researchers in own group
20,2026,2026_1079,,Researchers in own group
21,2026,2026_1080,Global research area,Researchers in own group
22,2026,2026_1086,,Researchers in own group
23,2026,2026_1091,,Researchers in own group
24,2026,2026_1093,Researchers around the world,Researchers in own group
25,2026,2026_1110,,Researchers in own group
26,2026,2026_1113,,Researchers in own group
27,2026,2026_1117,Internationally,Researchers in own group
28,2026,2026_1119,,Researchers in own group
29,2026,2026_1128,,Researchers in own group
30,2026,2026_1132,"Project based collaborations, mostly within the University",Researchers in own group
31,2026,2026_1145,,Researchers in own group
32,2026,2026_1148,,Researchers in own group
33,2026,2026_317,"Collaborators of researchers in my department, regardless of affiliation",Researchers in own department
34,2026,2026_373,,Researchers in own department
35,2026,2026_377,Researchers worldwide,Researchers in own department
36,2026,2026_386,,Researchers in own department
37,2026,2026_415,,Researchers in own department
38,2026,2026_512,,Researchers in own department
39,2026,2026_514,,Researchers in own department
40,2026,2026_515,,Researchers in own department
41,2026,2026_517,,Researchers in own department
42,2026,2026_543,,Researchers in own department
43,2026,2026_545,In principle anyone,Researchers in own department
44,2026,2026_546,,Researchers in own department
45,2026,2026_768,Forschende international,Researchers in own department
46,2026,2026_967,,Researchers in own department
47,2026,2026_1080,Global research area,Researchers in own department
48,2026,2026_1093,Researchers around the world,Researchers in own department
49,2026,2026_1110,,Researchers in own department
50,2026,2026_1113,,Researchers in own department
51,2026,2026_1128,,Researchers in own department
52,2026,2026_1146,,Researchers in own department
53,2026,2026_1156,,Researchers in own department
54,2026,2026_373,,Whole organization
55,2026,2026_405,En breve también podré ofrecer soporte a grupos específicos dentro de otras instituciones de Finlandia,Whole organization
56,2026,2026_407,,Whole organization
57,2026,2026_408,,Whole organization
58,2026,2026_512,,Whole organization
59,2026,2026_514,,Whole organization
60,2026,2026_517,,Whole organization
61,2026,2026_544,,Whole organization
62,2026,2026_545,In principle anyone,Whole organization
63,2026,2026_546,,Whole organization
64,2026,2026_910,,Whole organization
65,2026,2026_914,,Whole organization
66,2026,2026_929,,Whole organization
67,2026,2026_967,,Whole organization
68,2026,2026_968,,Whole organization
69,2026,2026_975,,Whole organization
70,2026,2026_1012,,Whole organization
71,2026,2026_1068,,Whole organization
72,2026,2026_1069,,Whole organization
73,2026,2026_1088,,Whole organization
74,2026,2026_1117,Internationally,Whole organization
75,2026,2026_1124,,Whole organization
76,2026,2026_1133,,Whole organization
77,2026,2026_1134,For business automation workflows,Whole organization
78,2026,2026_1135,,Whole organization
79,2026,2026_1154,,Whole organization
80,2026,2026_1159,,Whole organization
81,2026,2026_295,,Researchers anywhere in my country
82,2026,2026_296,,Researchers anywhere in my country
83,2026,2026_330,,Researchers anywhere in my country
84,2026,2026_388,Researchers in international projects,Researchers anywhere in my country
85,2026,2026_512,,Researchers anywhere in my country
86,2026,2026_514,,Researchers anywhere in my country
87,2026,2026_515,,Researchers anywhere in my country
88,2026,2026_517,,Researchers anywhere in my country
89,2026,2026_543,,Researchers anywhere in my country
90,2026,2026_544,,Researchers anywhere in my country
91,2026,2026_545,In principle anyone,Researchers anywhere in my country
92,2026,2026_768,Forschende international,Researchers anywhere in my country
93,2026,2026_967,,Researchers anywhere in my country
94,2026,2026_1039,,Researchers anywhere in my country
95,2026,2026_1070,,Researchers anywhere in my country
96,2026,2026_1075,Researchers worldwide,Researchers anywhere in my country
97,2026,2026_1080,Global research area,Researchers anywhere in my country
98,2026,2026_1081,,Researchers anywhere in my country
99,2026,2026_1101,,Researchers anywhere in my country
100,2026,2026_1116,,Researchers anywhere in my country
101,2026,2026_1117,Internationally,Researchers anywhere in my country
102,2026,2026_1124,,Researchers anywhere in my country
103,2026,2026_1132,"Project based collaborations, mostly within the University",Researchers anywhere in my country
104,2026,2026_1133,,Researchers anywhere in my country
105,2026,2026_1146,,Researchers anywhere in my country
106,2026,2026_1148,,Researchers anywhere in my country
