,socio1_0,socio2_0,self_described
0,Argentina,Male,
1,Argentina,Female,
2,Argentina,Female,
3,Argentina,Female,
4,Australia,Female,
5,Australia,Male,
6,Australia,Male,
7,Australia,Male,
8,Australia,Female,
9,Australia,Female,
10,Australia,Male,
11,Australia,Male,
12,Australia,Male,
13,Australia,Male,
14,Austria,Male,
15,Austria,Male,
16,Austria,Male,
17,Austria,Male,
18,Austria,Male,
19,Austria,Male,
20,Belgium,Male,
21,Belgium,Male,
22,Belgium,Male,
23,Belgium,Male,
24,Belgium,Male,
25,Belgium,Male,
26,Belgium,Male,
27,Belgium,Female,
28,Belgium,Male,
29,Brazil,Male,
30,Brazil,Male,
31,Brazil,Male,
32,Brazil,Male,
33,Brazil,Male,
34,Brazil,Male,
35,Brazil,Male,
36,Brazil,Male,
37,Canada,Male,
38,Canada,Male,
39,Canada,Male,
40,Canada,Male,
41,Canada,Male,
42,Canada,Male,
43,Canada,Male,
44,Canada,Male,
45,Canada,Male,
46,Canada,Male,
47,Canada,Prefer to self describe,I don't fit particularly well in any one category.
48,Canada,Prefer not to say,
49,Chile,Male,
50,Chile,Male,
51,Chile,Female,
52,Chile,Prefer not to say,
53,Chile,Male,
54,Chile,Male,
55,Chile,Female,
56,Denmark,Male,
57,Denmark,Male,
58,Denmark,Male,
59,Denmark,Male,
60,Estonia,Male,
61,Estonia,Male,
62,Estonia,Male,
63,Estonia,Male,
64,Estonia,Male,
65,Estonia,Male,
66,Estonia,Female,
67,Estonia,Male,
68,Ethiopia,Male,
69,Ethiopia,Male,
70,Ethiopia,Male,
71,Finland,Male,
72,Finland,Female,
73,Finland,Male,
74,Finland,Male,
75,Finland,Male,
76,Finland,Male,
77,Finland,Prefer to self describe,Non-binary
78,Finland,Male,
79,Finland,Prefer not to say,
80,Finland,Female,
81,Finland,Male,
82,Finland,Male,
83,Finland,Female,
84,Finland,Male,
85,Finland,Male,
86,Finland,Male,
87,Finland,Male,
88,Finland,Female,
89,Finland,Female,
90,Finland,Prefer not to say,
91,Germany,Male,
92,Germany,Male,
93,Germany,Male,
94,Germany,Male,
95,Germany,Male,
96,Germany,Female,
97,Germany,Male,
98,Germany,Male,
99,Germany,Male,
100,Germany,Male,
101,Germany,Male,
102,Germany,Female,
103,Germany,Male,
104,Germany,Male,
105,Germany,Male,
106,Germany,Prefer not to say,
107,Germany,Male,
108,Germany,Male,
109,Germany,Male,
110,Germany,Female,
111,Germany,Female,
112,Germany,Male,
113,Germany,Female,
114,Germany,Male,
115,Germany,Male,
116,Germany,Male,
117,Germany,Male,
118,Germany,Male,
119,Germany,Male,
120,Germany,Male,
121,Germany,Male,
122,Germany,Prefer to self describe,"nonbinary, transmasculine"
123,Germany,Male,
124,Germany,Female,
125,Germany,Male,
126,Germany,Male,
127,Germany,Male,
128,Germany,Male,
129,Germany,Male,
130,Germany,Male,
131,Germany,Male,
132,Germany,Male,
133,Germany,Male,
134,Germany,Male,
135,Germany,Male,
136,Germany,Prefer not to say,
137,Germany,Female,
138,Germany,Male,
139,Germany,Male,
140,Germany,Male,
141,Germany,Male,
142,Germany,Male,
143,Germany,Male,
144,Germany,Male,
145,Germany,Male,
146,Germany,Male,
147,Germany,Female,
148,Germany,Male,
149,Germany,Male,
150,Germany,Male,
151,Germany,Male,
152,Germany,Female,
153,Germany,Male,
154,Germany,Prefer not to say,
155,Germany,Prefer to self describe,"non-binary, gender-fluid"
156,Germany,Female,
157,Germany,Male,
158,Germany,Male,
159,Germany,Female,
160,Germany,Female,
161,Germany,Male,
162,Germany,Male,
163,Germany,Male,
164,Germany,Female,
165,Germany,Male,
166,Germany,Male,
167,Germany,Male,
168,Germany,Male,
169,Germany,Male,
170,Germany,Prefer to self describe,Genderfluid
171,Germany,Male,
172,Germany,Male,
173,Germany,Male,
174,Germany,Male,
175,Germany,Female,
176,Germany,Male,
177,Germany,Female,
178,Germany,Male,
179,Germany,Female,
180,Germany,Female,
181,Germany,Female,
182,Germany,Male,
183,Germany,Male,
184,Germany,Male,
185,Germany,Male,
186,Germany,Male,
187,Germany,Male,
188,Germany,Male,
189,Germany,Male,
190,Germany,Male,
191,Germany,Male,
192,Germany,Male,
193,Germany,Male,
194,Germany,Male,
195,Germany,Male,
196,Germany,Prefer to self describe,Thats bad software desing to not have other pre-select options for gender. At least the legally recognized 'd' should be available.
197,Germany,Male,
198,Germany,Male,
199,Germany,Male,
200,Germany,Male,
201,Germany,Male,
202,Germany,Male,
203,Germany,Female,
204,Germany,Male,
205,Germany,Male,
206,Germany,Male,
207,Germany,Male,
208,Germany,Male,
209,Germany,Male,
210,Germany,Male,
211,Germany,Male,
