,submitdate_0,startlanguage_0,seed_0,startdate_0,socio1_0,rse1_0,edu2_0,rse3_0,soft2can_0,soft1can_0,open1de_0,rse4de_0,ukrse1_0,org1can_0,org1cz_0,org1swiss_0,org2can[SQ001]_0,org2can[SQ002]_0,org2can[SQ003]_0,org2can[SQ004]_0,org2can[SQ005]_0,org2can[other]_0,ukrse12sa_0,org3us_0,org4us_0,org5us_0,org3nord[1]_0,org3nord[2]_0,org3nord[3]_0,org3nord[4]_0,org3nord[5]_0,org3nord[6]_0,org3nord[7]_0,org3nord[other]_0,org4nord[1]_0,org4nord[2]_0,org4nord[3]_0,org4nord[4]_0,org4nord[5]_0,org4nord[6]_0,org4nord[7]_0,org4nord[8]_0,org4nord[9]_0,org4nord[10]_0,org4nord[other]_0,currentEmp1_0,currentEmp1[other]_0,currentEmp1qde_0,currentEmp1qde[other]_0,currentEmp1qswiss_0,currentEmp1qswiss[other]_0,currentEmp1nl_0,currentEmp1nl[other]_0,currentEmp11qcl_0,currentEmp11qcl[other]_0,currentEmp1qzaf_0,currentEmp11qzaf_0,currentEmp20deqde_0,currentEmp20deqde[other]_0,currentEmp20qus_0,currentEmp20qus[other]_0,currentEmp21deqde_0,currentEmp22deqde_0,currentEmp22deqde[other]_0,currentEmp23deqde_0,currentEmp23deqde[other]_0,currentEmp24deqde_0,currentEmp24deqde[other]_0,prevEmp1_0,prevEmp1[other]_0,prevEmp1qde_0,prevEmp1qde[other]_0,prevEmp1nl_0,prevEmp1nl[other]_0,prevEmp1qswiss_0,prevEmp1qswiss[other]_0,currentEmp5_0,currentEmp6_0,currentEmp60_0,currentEmp12_0,currentEmp10_0,currentEmp10[other]_0,currentEmp11_0,currentEmp13[1]_0,currentEmp13[2]_0,currentEmp13[3]_0,currentEmp13[4]_0,currentEmp13[5]_0,currentEmp13[6]_0,currentEmp13[7]_0,currentEmp13[8]_0,currentEmp13[9]_0,currentEmp13[10]_0,currentEmp13[11]_0,currentEmp13[12]_0,currentEmp13[13]_0,currentEmp13[14]_0,currentEmp13[15]_0,currentEmp13[16]_0,currentEmp13[17]_0,currentEmp13[other]_0,likert0[1]_0,likert0[2]_0,likert0[3]_0,likert0[4]_0,likert0[5]_0,likert1[1]_0,likert1[2]_0,likert1[3]_0,likert1[4]_0,likert1[5]_0,likert3a[SQ001]_0,likert3b[SQ001]_0,likert4a[1]_0,likert4b[1]_0,likert4b[2]_0,likert4c[1]_0,likert4c[2]_0,likert4c[3]_0,likert5b[1]_0,likert5b[2]_0,likert5b[3]_0,likert5a[1]_0,likert5a[2]_0,likert5a[3]_0,turnOver3[SQ001]_0,turnOver3zaf[1]_0,turnOver3zaf[2]_0,turnOver3zaf[3]_0,turnOver3zaf[4]_0,turnOver3zaf[5]_0,turnOver3zaf[6]_0,turnOver3zaf[7]_0,turnOver3zaf[8]_0,turnOver3zaf[9]_0,org3de_0,org4de[1]_0,org4de[2]_0,org4de[3]_0,org4de[4]_0,org4de[5]_0,org4de[6]_0,org4de[7]_0,org4de[8]_0,org4de[9]_0,org4de[10]_0,org4de[other]_0,org5de_0,org5de[other]_0,org6de[1]_0,org6de[2]_0,org6de[3]_0,org6de[4]_0,org6de[5]_0,org6de[6]_0,org6de[7]_0,org6de[other]_0,org7de_0,turnOver4zaf[1]_0,turnOver4zaf[2]_0,turnOver4zaf[3]_0,turnOver4zaf[4]_0,turnOver4zaf[other]_0,currentWork2_0,currentWork1_0,currentWork2qcl[1]_0,currentWork2qcl[2]_0,currentWork2qcl[3]_0,currentWork2qcl[4]_0,currentWork2qcl[other]_0,paper3mod_0,conf1can_0,conf2can_0,ref1uk_0,currentWork3nord_0,proj1can_0,stability1_0,stability2_0,proj8can_0,proj7can_0,proj4can[SQ001]_0,proj4can[SQ002]_0,proj4can[SQ003]_0,proj4can[SQ004]_0,proj4can[SQ006]_0,proj4can[SQ005]_0,proj4can[other]_0,proj5zaf[SQ001]_0,proj5zaf[SQ003]_0,proj5zaf[SQ004]_0,proj5zaf[SQ002]_0,proj5zaf[SQ005]_0,proj5zaf[other]_0,proj6zaf[1]_0,proj6zaf[2]_0,proj6zaf[3]_0,proj6zaf[4]_0,proj6zaf[5]_0,proj6zaf[6]_0,proj6zaf[7]_0,proj6zaf[8]_0,proj6zaf[9]_0,proj6zaf[10]_0,proj6zaf[11]_0,proj6zaf[other]_0,proj5can_0,proj5can[other]_0,train2_0,train4qzaf_0,train3_0,train4_0,train5[1]_0,train5[2]_0,train5[3]_0,train5[4]_0,train5[5]_0,train5[6]_0,train5[other]_0,fund3[1]_0,fund3[2]_0,fund3[3]_0,fund3[4]_0,fund3[5]_0,fund3[6]_0,fund3[7]_0,fund3[other]_0,fund1can_0,fund1can[other]_0,fund3qnl_0,fund1uk_0,fund1nord_0,tool5[SQ003]_0,tool5[SQ004]_0,tool5[SQ005]_0,tool5[SQ006]_0,tool5[SQ007]_0,tool5[SQ009]_0,tool5[other]_0,tool5can[1]_0,tool5can[2]_0,tool5can[3]_0,tool5can[4]_0,tool5can[5]_0,tool5can[6]_0,tool5can[7]_0,tool5can[8]_0,tool5can[9]_0,tool5can[other]_0,tool2_0,tool2[other]_0,tool4can[SQ001]_0,tool4can[SQ002]_0,tool4can[SQ003]_0,tool4can[SQ004]_0,tool4can[SQ005]_0,tool4can[SQ006]_0,tool4can[SQ007]_0,tool4can[SQ008]_0,tool4can[SQ009]_0,tool4can[SQ010]_0,tool4can[SQ011]_0,tool4can[SQ012]_0,tool4can[SQ013]_0,tool4can[SQ014]_0,tool4can[SQ015]_0,tool4can[SQ016]_0,tool4can[SQ017]_0,tool4can[SQ018]_0,tool4can[SQ019]_0,tool4can[SQ020]_0,tool4can[SQ021]_0,tool4can[SQ022]_0,tool4can[SQ023]_0,tool4can[SQ024]_0,tool4can[SQ025]_0,tool4can[SQ026]_0,tool4can[SQ027]_0,tool4can[SQ028]_0,tool4can[SQ029]_0,tool4can[SQ030]_0,tool4can[SQ031]_0,tool4can[SQ032]_0,tool4can[SQ033]_0,tool4can[SQ034]_0,tool4can[SQ035]_0,tool4can[SQ036]_0,tool4can[other]_0,ukrse3[1]_0,ukrse3[2]_0,ukrse3[3]_0,ukrse3[4]_0,ukrse3[5]_0,ukrse3[6]_0,ukrse3[other]_0,skillNord_0,skill2[SQ001]_0,skill2[SQ002]_0,skill2[SQ003]_0,genAI1_0,genAI2[1]_0,genAI2[2]_0,genAI2[3]_0,genAI2[4]_0,genAI2[5]_0,genAI2[6]_0,genAI2[other]_0,genAI3[1]_0,genAI3[2]_0,genAI3[3]_0,genAI3[4]_0,genAI3[5]_0,genAI3[6]_0,genAI3[7]_0,genAI3[other]_0,genAI4[SQ001]_0,genAI5[1]_0,genAI5[2]_0,genAI5[3]_0,genAI6_0,socio3_0,row_id,Year_0,likert2a[1]_0,likert2a[2]_0,open1can[SQ001]_0,likert2b[SQ001]_0,paper2mod[1]_0,paper2mod[2]_0,paper2mod[3]_0,paper2mod[4]_0,paper2mod[5]_0,currentEmp2q_0,edu1_0
0,2026-01-19 20:36:11,en,1413733513,2026-01-19 20:32:26,Anguilla,False,Law,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Full Time,Fixed-term,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,20%,60%,,,,Disagree,Neither agree or disagree,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,False,False,False,False,False,False,False,,,,,,,False,False,False,False,False,False,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,,,,,,False,False,False,False,False,False,,False,False,False,False,False,False,False,,,,,,,,2026_0,2026,,,,,,,,,,,Masters Degree
1,2026-01-20 09:19:20,en,1498282230,2026-01-20 09:10:50,United Kingdom,True,Physical sciences,3,False,15+,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University,,,,,,,,,,,,,,,,,,,,,,,This is my first job,,,,,,,,Research Fellow,False,,Full Time,Permanent,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,60%,20%,0% (None at all),20%,0% (None at all),0% (None at all),0% (None at all),0% (None at all),0% (None at all),0% (None at all),Strongly disagree,Neither agree or disagree,Disagree,,,,,,Neither agree or disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,True,True,,False,,1-4,1,False,,,True,False,False,False,False,False,,False,True,False,False,False,,False,False,True,False,True,False,False,False,False,False,False,codeforge,,,1-2,,,True,True,True,False,True,True,True,,True,False,False,False,False,False,False,,,,,False,,False,False,False,True,False,False,,,,,,,,,,,,GNU/Linux,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,,False,True,False,True,False,False,,,,,,Never,,,,,,,,,,,,,,,,,,,,,55 to 64 years,2026_1,2026,5.0,3.0,5.0,3.0,,,,,,Lancaster University,Undergraduate degree
2,2026-01-20 09:31:25,en,2122282085,2026-01-20 09:21:37,United Kingdom,False,Physical sciences,,False,0,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Sole Trader,,,,,,,,,,,,,,,,,,,,,,University,,,,,,,,Consultant,False,,Part-time,Zero-hours/hourly/casual,,20.0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,,0% (None at all),60%,0% (None at all),20%,20%,0% (None at all),60%,0% (None at all),20%,20%,Strongly Agree,Strongly Agree,Neither agree or disagree,,,,,,Disagree,,Strongly disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,False,False,,False,,1-4,2-3,True,,,False,False,True,False,False,False,,False,True,False,False,False,,False,False,False,True,False,False,False,False,False,False,False,,,,3-5,,"European Materials Modelling Council, Private Trainings ",False,,,,,,,,False,False,False,False,False,False,False,"I am no RSE, I work with them",,,,False,,True,True,True,False,False,False,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,none,False,False,False,False,False,False,,,,,,Never,,,,,,,,,,,,,,,,It will increase demand for RSE roles,Same,,Same,test the answers generative AI gives with something that is not AI - AI cannot approve AI,45 to 54 years,2026_2,2026,5.0,3.0,3.0,5.0,,,,,,,PhD
3,2026-01-20 09:53:12,en,473648720,2026-01-20 09:40:40,Germany,True,Computer science,4,True,15+,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Max Planck Society,,,,,,,,,,,,,,,,,Max Planck Institute for Biological Cybernetics,,,,,,University,,,,,,Scientific Software Engineer,False,,Full Time,Permanent,,,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,20%,0% (None at all),0% (None at all),20%,60%,20%,20%,,40%,20%,Agree,Neither agree or disagree,,,,Neither agree or disagree,Agree,Strongly Agree,Agree,Disagree,Agree,,,,,,,,,,,,,,"Yes, I see urgent/high demand",False,True,True,True,True,True,False,False,True,False,,A decentralized network of regional hubs without a central institution,,True,False,True,True,False,False,True,,,,,,,,False,"Different researchers, same research group",,,,,,False,False,,,,5-9,1,False,False,,False,True,True,False,False,False,,False,True,False,False,False,,False,True,True,True,True,False,True,True,False,False,False,,No formal methodology,,5-10,,,True,False,True,False,False,True,False,,True,False,False,False,False,False,False,,,,,,,False,False,True,False,False,False,,,,,,,,,,,,GNU/Linux,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,,False,True,False,False,False,False,,,,,,Monthly,False,False,False,False,True,False,,True,False,False,False,False,True,False,,It will increase demand for RSE roles,Increase,Same,Same,,45 to 54 years,2026_3,2026,3.0,,,,,3.0,3.0,2.0,1.0,,Promotion/PhD
4,,en,1927281182,2026-01-20 09:52:22,United Kingdom,True,Physical sciences,5 - Mostly other people,True,10,True,False,True,,,,True,True,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,University,,,,,,,,,,,,,,,,,,,,,,,University,,,,,,,,Research Fellow,False,,Full Time,Fixed-term,,3.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,60%,20%,0% (None at all),0% (None at all),20%,40%,20%,20%,20%,0% (None at all),Agree,Neither agree or disagree,Neither agree or disagree,,,,,,Strongly Agree,Strongly disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026_4,2026,,,,,,,,,,University of Cambridge,PhD
5,2026-01-20 10:10:14,en,364700461,2026-01-20 09:53:50,Germany,False,Biological sciences,,False,5,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,non-profit,,,,,,,,,,,,,,,,,,,,,,Other,inter-governmental research institute,,,,,Director of Curriculum,False,,Full Time,Permanent,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,20%,0% (None at all),20%,40%,20%,0% (None at all),0% (None at all),20%,40%,40%,Agree,Strongly Agree,,,,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,,,,,,,,,,,,,,"Yes, I see some demand",False,False,False,True,True,True,True,True,True,True,,A combination of a central institution and decentralized partners,,True,True,True,False,False,True,True,,,,,,,,False,,,,,,,False,,,,,,2-3,True,False,,False,False,True,False,True,False,,False,True,False,False,False,,False,False,True,True,False,True,False,True,False,False,False,Asana,No formal methodology,,11 or more,,The Carpentries,False,,,,,,,,False,True,True,False,True,False,False,,,,,,,False,False,False,True,False,False,GitHub Actions (does this count as Cloud?),,,,,,,,,,,macOS,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,,False,True,True,False,False,False,,,project management,,,Rarely (a few times a year),True,False,False,False,False,False,,False,True,False,False,False,False,False,,It will not significantly change demand for RSEs roles,Same,Increase,Same,"debugging/code review, testing, project planning",35 to 44 years,2026_5,2026,3.0,3.0,5.0,3.0,,,,,,,Promotion/PhD
6,,en,748659463,2026-01-20 10:55:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026_6,2026,,,,,,,,,,,
7,,en,1708552133,2026-01-20 10:56:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026_7,2026,,,,,,,,,,,
8,2026-01-20 11:32:14,en,1616822317,2026-01-20 11:13:02,United Kingdom,True,Physical sciences,5 - Mostly other people,True,6,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University,,,,,,,,,,,,,,,,,,,,,,,Private company,,,,,,,,Senior Research Software Engineer,False,,Full Time,Fixed-term,,1.0,True,True,False,False,True,True,True,True,False,True,False,False,False,False,False,False,False,Digital Humanities,80%,0% (None at all),20%,20%,20%,80%,20%,0% (None at all),20%,20%,Strongly Agree,Neither agree or disagree,Disagree,,,,,,Strongly Agree,Strongly disagree,Neither agree or disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,False,False,,True,,5-9,1,False,,,False,False,True,False,True,False,,False,True,False,False,False,,True,False,True,True,True,True,False,True,False,False,False,,,,5-10,,"Local university training, UNIVERSE-HPC, NCRM, NVIDIA DLI",False,,,,,,,,True,True,False,False,False,False,False,,,,,False,,True,False,True,True,False,True,,,,,,,,,,,,macOS,,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,,False,True,False,True,True,True,,,Project management,Software development lifecycle,Mentoring,Weekly,True,False,False,False,True,False,,True,True,False,False,True,False,False,,It will not significantly change demand for RSEs roles,Increase,Same,Same,"Critical thinking, being able to explain the problem succinctly and clearly, software engineering",25 to 34 years,2026_8,2026,5.0,,5.0,3.0,4.0,1.0,3.0,2.0,1.0,University of Southampton,PhD
9,2026-01-20 11:53:22,en,1636166768,2026-01-20 11:34:25,United Kingdom,True,Computer science,4,True,15+,True,False,True,,,,True,False,False,False,False,Discounted access to annual conference,,,,,,,,,,,,,,,,,,,,,,,,University,,,,,,,,,,,,,,,,,,,,,,,University,,,,,,,,Senior Research Software Engineer,False,,Full Time,Permanent,,,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,,60%,20%,0% (None at all),20%,20%,80%,40%,0% (None at all),0% (None at all),0% (None at all),Agree,Strongly Agree,Neither agree or disagree,,,,,,Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,True,False,,False,,1-4,2-3,False,,,False,True,True,False,True,False,"Worth differentiating that some PIs don't believe their numerical models can be automatically tested, so left to visual analysis of results.",False,True,False,False,False,,True,False,True,True,False,False,False,False,False,False,False,,,,1-2,,"Performance & Optimisation (Python) carpentries style short course which I developed, co-maintain and deliver locally.",True,True,True,False,True,True,True,,False,True,False,True,False,False,False,,,,,True,,True,False,False,True,False,True,,,,,,,,,,,,Windows,,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,,False,True,False,True,False,True,,,Grant writing,Rust,Marketing,Weekly,True,False,False,False,False,False,Improving the wording of written stuff.,True,False,False,False,False,False,False,grok,It will not significantly change demand for RSEs roles,Increase,Same,Same,Understand the code it writes.,25 to 34 years,2026_9,2026,3.0,3.0,4.0,4.0,1.0,1.0,1.0,5.0,1.0,University of Sheffield,PhD
