,Year_0,row_id,skill2
5,2026,2026_5,project management
8,2026,2026_8,Project management
9,2026,2026_9,Grant writing
10,2026,2026_10,Management
13,2026,2026_13,Better Matlab
17,2026,2026_17,Portfolio management
18,2026,2026_18,Technical project management
21,2026,2026_21,Communication/Pedagogy
23,2026,2026_23,Rust
24,2026,2026_24,Computational biology for genomic data analysis
27,2026,2026_27,Project management
29,2026,2026_29,Advanced Javascript 
32,2026,2026_32,Rust
34,2026,2026_34,Marketing
35,2026,2026_35,Testing automatizado y validación de resultados en software de investigación
40,2026,2026_40,Rust
41,2026,2026_41,LLM and ML development
45,2026,2026_45,Mejorar en la comunicación y planificación
46,2026,2026_46,containers
48,2026,2026_48,Operations
49,2026,2026_49,Relationship management
54,2026,2026_54,Software Design and Architecture
59,2026,2026_59,project management
60,2026,2026_60,Management for training purposes
61,2026,2026_61,Management
66,2026,2026_66,Parallized Hardware
67,2026,2026_67,noch mehr über Softwarearchitektur lernen
68,2026,2026_68,Management
70,2026,2026_70,Project management
73,2026,2026_73,requirement engineering
77,2026,2026_77,"Intermediate RSE (refactoring, understand how to really write tests, some more profound knowledge of gitlab-CI (e.g. caching effectively))"
81,2026,2026_81,Formale Softwarearchitektur für objektorientierte Sprachen
82,2026,2026_82,Scaling cloud/k8s deployments
84,2026,2026_84,Cloud infrastructure
87,2026,2026_87,Documentation writing / organization
88,2026,2026_88,Task Management
89,2026,2026_89,Improve Machine Learning skills
90,2026,2026_90,Software Design and Architecture
91,2026,2026_91,Best practices for coding
92,2026,2026_92,project management
93,2026,2026_93,software architecture
94,2026,2026_94,How to sell infrastructure work
97,2026,2026_97,Use of AI/ML in software development
101,2026,2026_101,Server and HPC administration
105,2026,2026_105,advanced testing strategies
107,2026,2026_107,"Better Collaboration Skills, most of my projects are solo and I find combining efforts on software difficult"
108,2026,2026_108,Rust
109,2026,2026_109,"Stronger foundation in mathematics (linear algebra, optimization, signal processing)"
117,2026,2026_117,Machine Learning
118,2026,2026_118,"Navigating the grant application processes for NASA, NSF, etc"
119,2026,2026_119,Automation with JUBE
122,2026,2026_122,Architektur
123,2026,2026_123,remembering people's name
125,2026,2026_125,marketing
127,2026,2026_127,SCRUM/AGILE 
128,2026,2026_128,Unit testing
130,2026,2026_130,Requirements Engineering
132,2026,2026_132,proper design instead of patching holes based
133,2026,2026_133,Software architecture design
134,2026,2026_134,A more consistent way of working with Git branches
135,2026,2026_135,Project management
136,2026,2026_136,Project Management
140,2026,2026_140,Local LLM usage for development
142,2026,2026_142,Management/delegation
144,2026,2026_144,Fast prototyping 
145,2026,2026_145,Partner(s) for code reviews
146,2026,2026_146,Bonnes pratiques de conception
147,2026,2026_147,Optimierung von Python code
148,2026,2026_148,Level up my web framework programming skills
151,2026,2026_151,Angular
154,2026,2026_154,Presentation skills - with specific focus on how things are presented within software related journals and conferences
157,2026,2026_157,parallelisation of numerics
164,2026,2026_164,Talking with non technical PIs
168,2026,2026_168,Systematischeres Testen
170,2026,2026_170,Testing
181,2026,2026_181,Coding
183,2026,2026_183,Machine Learning
185,2026,2026_185,Promote my work
187,2026,2026_187,Leveraging cloud resources
188,2026,2026_188,git
189,2026,2026_189,Learn to use Gen AI tools to speed up coding and prototyping
190,2026,2026_190,"Soft skills, since all the positions I curently see are hiring from the network and has nothing to do with your coding skills"
191,2026,2026_191,Advanced C programming
192,2026,2026_192,monitoring/metrics collection (Grafana?)
193,2026,2026_193,VHDL / Verilog
195,2026,2026_195,Machine Learning
196,2026,2026_196,Utilizing AI in developing and testing
197,2026,2026_197,CI/CD
203,2026,2026_203,software design
204,2026,2026_204,HPC with Rust
205,2026,2026_205,time management
209,2026,2026_209,Working with Gen AI usefully
210,2026,2026_210,Communication 
211,2026,2026_211,Stakeholder Management Skills
212,2026,2026_212,Project management
216,2026,2026_216,Supervision of Junior RSEs
217,2026,2026_217,gestion de projets
219,2026,2026_219,Mathematics
221,2026,2026_221,team leadership
222,2026,2026_222,k8s
224,2026,2026_224,version management
228,2026,2026_228,Influencing mentees and researchers (to adopt better practices)
231,2026,2026_231,Software development tools
235,2026,2026_235,LLM agent management 
236,2026,2026_236,Networking and collaboration skills
238,2026,2026_238,Communicate my work to decision makers
239,2026,2026_239,Software architecture
243,2026,2026_243,Second programming language
249,2026,2026_249,Requirements Elicitation in Research Projects
263,2026,2026_263,Know how to put in place automated testing
264,2026,2026_264,More Infra mainly
268,2026,2026_268,web-based application
270,2026,2026_270,A more formal approach to relational database design and administration
271,2026,2026_271,Machine Learning in Python
272,2026,2026_272,Git based version control
275,2026,2026_275,Structured Way of improving my coding knowledge
279,2026,2026_279,running meetings well
281,2026,2026_281,More experience with test driven development
282,2026,2026_282,Programming in Python
285,2026,2026_285,"Proper software engineering, e.g. design patterns"
286,2026,2026_286,Better software design skills
289,2026,2026_289,Knowledge of databases such as SQL
296,2026,2026_296,new programming language
298,2026,2026_298,"research project management (managing data, simulations, analysis tooling++)"
304,2026,2026_304,codebase design (taking principles like pure functions vs side-effects to the extreme)
306,2026,2026_306,project management
307,2026,2026_307,Advanced C++
319,2026,2026_319,Project management
320,2026,2026_320,Teaching academics good software quality assurance
322,2026,2026_322,Coding expert
325,2026,2026_325,Visualisation with R 
326,2026,2026_326,Using development methodologies in academic environment
328,2026,2026_328,Testentwicklung für mathematische Software die über Unit Tests hinaus gehen
330,2026,2026_330,Teaching skills
331,2026,2026_331,Project management
334,2026,2026_334,Project management
340,2026,2026_340,Front-end development
341,2026,2026_341,consultancy (determine the needs)
343,2026,2026_343,Become more comfortable with Deep Reinforcement Learning
344,2026,2026_344,Project Management
346,2026,2026_346,Formal testing methods
349,2026,2026_349,Project planning
350,2026,2026_350,Professional Agile/Scrum workflows
351,2026,2026_351,Advanced use of git commands
352,2026,2026_352,FAIR expertise
353,2026,2026_353,Full stack management
355,2026,2026_355,Software Design Patterns
356,2026,2026_356,GitLab/GitHub CI/CD pipelines
358,2026,2026_358,NLP
359,2026,2026_359,Community management
363,2026,2026_363,architecture 
365,2026,2026_365,Statistical theory
366,2026,2026_366,Data Management
367,2026,2026_367,AI/ML
372,2026,2026_372,DevOps
373,2026,2026_373,DevOps
376,2026,2026_376,Saying no
377,2026,2026_377,Rust
378,2026,2026_378,learn how to properly organize of bigger projects
379,2026,2026_379,"Project, people management (communicating what is needed for research and to what depth)"
382,2026,2026_382,software development with a team
387,2026,2026_387,Seeking collaborations
388,2026,2026_388,Driver level understanding of HPC machines/GPU clusters
390,2026,2026_390,"Communication (importance of work, costs of work)"
391,2026,2026_391,Testing
394,2026,2026_394,software development - in the sense of professional technique (not the self-taught far-from-best-practices which physicists typically use)
395,2026,2026_395,teaching
396,2026,2026_396,Understand LLVM pipeline
405,2026,2026_405,"Me gustaría mejorar mi conocimiento sobre ""best coding practices"". Ahora mismo es muy general y hay muchas herramientas que ayudan en este aspecto."
407,2026,2026_407,clearer communication with customers 
408,2026,2026_408,International Funding Acquisition
412,2026,2026_412,Knowledge transfer of software paradigms
413,2026,2026_413,"low level computing, assembly"
415,2026,2026_415,Learn Rust
418,2026,2026_418,Software Architecture
420,2026,2026_420,Software Architecture
421,2026,2026_421,requirement engineering
422,2026,2026_422,Programming
424,2026,2026_424,GPU programming
431,2026,2026_431,testing tools and methodologies
434,2026,2026_434,Effektive Dokumentation
437,2026,2026_437,Testing
440,2026,2026_440,(Web) UI creation and design
441,2026,2026_441,Project management
442,2026,2026_442,Rust
443,2026,2026_443,Softwarearchitekturgestaltung
445,2026,2026_445,better time management
448,2026,2026_448,Unit testing
451,2026,2026_451,Research Software Management
453,2026,2026_453,Rust
456,2026,2026_456,Project leadership
458,2026,2026_458,Testing
459,2026,2026_459,Testing
460,2026,2026_460,AI
461,2026,2026_461,Utiliation de l'IA
468,2026,2026_468,Kubernetes
470,2026,2026_470,Gestión de proyectos 
471,2026,2026_471,Project management
472,2026,2026_472,Project Management
474,2026,2026_474,"More knowledge in performance optimization and in the HPC world (Vectorization, CUDA, Multi CPU, Multi GPU). I would love to work together with senios and to be taught by them."
478,2026,2026_478,efficient and robust engineering of software architecture 
482,2026,2026_482,Specific languages
484,2026,2026_484,Accessibility and inclusivity
