,New_name,Old_name,Question,Option
0,startdate_0,startdate. Date started, Date started,
1,socio1_0,socio1. In which country do you work?, In which country do you work?,
2,rse1_0,rse1. Do you write software for academic research as part of your job, Do you write software for academic research as part of your job,
3,edu1_0,edu1. What is the highest level of education you have attained?, What is the highest level of education you have attained?,
4,edu2_0,edu2. In which discipline is your highest academic qualification?, In which discipline is your highest academic qualification?,
5,edu4_0,"edu4. List any professional qualifications you hold (eg. P. Eng, PMP, …)?"," List any professional qualifications you hold (eg. P. Eng, PMP, …)?",
6,rse4de_0,rse4de. Does the majority of your role comprise leading a group of software developers or RSEs?, Does the majority of your role comprise leading a group of software developers or RSEs?,
7,rse3_0,rse3. Who uses the code that you write?, Who uses the code that you write?,
8,soft2can_0,soft2can. Do you consider yourself a professional software developer?, Do you consider yourself a professional software developer?,
9,soft1can_0,soft1can. How many years of software development experience do you have?, How many years of software development experience do you have?,
10,time1can_0,"time1can. On average, how much of your time is spent developing software?"," On average, how much of your time is spent developing software?",
11,time2can_0,"time2can. On average, how much of your time is spent on research"," On average, how much of your time is spent on research",
12,time3can_0,"time3can. On average, how much of your time is spent on management"," On average, how much of your time is spent on management",
13,time4can_0,"time4can. On average, how much of your time is spent on teaching"," On average, how much of your time is spent on teaching",
14,time5can_0,"time5can. On average, how much of your time is spent on other activities"," On average, how much of your time is spent on other activities",
15,timeLike6zaf_0,"timeLike6zaf. In an average month, how much time would you like to spend on software development?"," In an average month, how much time would you like to spend on software development?",
16,timeLike7zaf_0,"timeLike7zaf. In an average month, how much time would you like to spend on research"," In an average month, how much time would you like to spend on research",
17,timeLike8zaf_0,"timeLike8zaf. In an average month, how much time would you like to spend on management"," In an average month, how much time would you like to spend on management",
18,timeLike9zaf_0,"timeLike9zaf. In an average month, how much time would you like to spend on teaching"," In an average month, how much time would you like to spend on teaching",
19,timeLike10zaf_0,"timeLike10zaf. In an average month, how much time would you like to spend on other activities"," In an average month, how much time would you like to spend on other activities",
20,currentEmp1_0,currentEmp1. Please select your organization type, Please select your organization type,
21,currentEmp12_0,currentEmp12. Do you work full time or part time, Do you work full time or part time,
22,currentEmp10_0,currentEmp10. What is the nature of your current employment?, What is the nature of your current employment?,
23,currentEmp11_0,currentEmp11. What is the expected duration (in years) of your current position (in total)?, What is the expected duration (in years) of your current position (in total)?,
24,currentEmp13_0,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Accounting & Finance], Please select the discipline in which you work. Please select all that apply. [Accounting & Finance],Accounting & Finance
25,currentEmp13_1,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Aeronautical & Manufacturing Engineering], Please select the discipline in which you work. Please select all that apply. [Aeronautical & Manufacturing Engineering],Aeronautical & Manufacturing Engineering
26,currentEmp13_2,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Agriculture & Forestry], Please select the discipline in which you work. Please select all that apply. [Agriculture & Forestry],Agriculture & Forestry
27,currentEmp13_3,currentEmp13. Please select the discipline in which you work. Please select all that apply. [American Studies], Please select the discipline in which you work. Please select all that apply. [American Studies],American Studies
28,currentEmp13_4,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Anatomy & Physiology], Please select the discipline in which you work. Please select all that apply. [Anatomy & Physiology],Anatomy & Physiology
29,currentEmp13_5,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Anthropology], Please select the discipline in which you work. Please select all that apply. [Anthropology],Anthropology
30,currentEmp13_6,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Architecture], Please select the discipline in which you work. Please select all that apply. [Architecture],Architecture
31,currentEmp13_7,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Art & Design], Please select the discipline in which you work. Please select all that apply. [Art & Design],Art & Design
32,currentEmp13_8,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Biological Sciences], Please select the discipline in which you work. Please select all that apply. [Biological Sciences],Biological Sciences
33,currentEmp13_9,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Business & Management Studies], Please select the discipline in which you work. Please select all that apply. [Business & Management Studies],Business & Management Studies
34,currentEmp13_10,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Chemical Engineering], Please select the discipline in which you work. Please select all that apply. [Chemical Engineering],Chemical Engineering
35,currentEmp13_11,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Chemistry], Please select the discipline in which you work. Please select all that apply. [Chemistry],Chemistry
36,currentEmp13_12,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Civil Engineering], Please select the discipline in which you work. Please select all that apply. [Civil Engineering],Civil Engineering
37,currentEmp13_13,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Classics & Ancient History], Please select the discipline in which you work. Please select all that apply. [Classics & Ancient History],Classics & Ancient History
38,currentEmp13_14,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Communication & Media Studies], Please select the discipline in which you work. Please select all that apply. [Communication & Media Studies],Communication & Media Studies
39,currentEmp13_15,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Complementary Medicine], Please select the discipline in which you work. Please select all that apply. [Complementary Medicine],Complementary Medicine
40,currentEmp13_16,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Computer Science], Please select the discipline in which you work. Please select all that apply. [Computer Science],Computer Science
41,currentEmp13_17,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Counselling], Please select the discipline in which you work. Please select all that apply. [Counselling],Counselling
42,currentEmp13_18,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Criminology], Please select the discipline in which you work. Please select all that apply. [Criminology],Criminology
43,currentEmp13_19,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Dentistry], Please select the discipline in which you work. Please select all that apply. [Dentistry],Dentistry
44,currentEmp13_20,currentEmp13. Please select the discipline in which you work. Please select all that apply. [East & South Asian Studies], Please select the discipline in which you work. Please select all that apply. [East & South Asian Studies],East & South Asian Studies
45,currentEmp13_21,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Economics], Please select the discipline in which you work. Please select all that apply. [Economics],Economics
46,currentEmp13_22,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Education], Please select the discipline in which you work. Please select all that apply. [Education],Education
47,currentEmp13_23,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Electrical & Electronic Engineering], Please select the discipline in which you work. Please select all that apply. [Electrical & Electronic Engineering],Electrical & Electronic Engineering
48,currentEmp13_24,currentEmp13. Please select the discipline in which you work. Please select all that apply. [English], Please select the discipline in which you work. Please select all that apply. [English],English
49,currentEmp13_25,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Fashion], Please select the discipline in which you work. Please select all that apply. [Fashion],Fashion
50,currentEmp13_26,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Food Science], Please select the discipline in which you work. Please select all that apply. [Food Science],Food Science
51,currentEmp13_27,currentEmp13. Please select the discipline in which you work. Please select all that apply. [French], Please select the discipline in which you work. Please select all that apply. [French],French
52,currentEmp13_28,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Geography & Environmental Sciences], Please select the discipline in which you work. Please select all that apply. [Geography & Environmental Sciences],Geography & Environmental Sciences
53,currentEmp13_29,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Geology], Please select the discipline in which you work. Please select all that apply. [Geology],Geology
54,currentEmp13_30,currentEmp13. Please select the discipline in which you work. Please select all that apply. [General Engineering], Please select the discipline in which you work. Please select all that apply. [General Engineering],General Engineering
55,currentEmp13_31,currentEmp13. Please select the discipline in which you work. Please select all that apply. [German], Please select the discipline in which you work. Please select all that apply. [German],German
56,currentEmp13_32,currentEmp13. Please select the discipline in which you work. Please select all that apply. [History], Please select the discipline in which you work. Please select all that apply. [History],History
57,currentEmp13_33,"currentEmp13. Please select the discipline in which you work. Please select all that apply. [History of Art, Architecture & Design]"," Please select the discipline in which you work. Please select all that apply. [History of Art, Architecture & Design]","History of Art, Architecture & Design"
58,currentEmp13_34,"currentEmp13. Please select the discipline in which you work. Please select all that apply. [Hospitality, Leisure, Recreation & Tourism]"," Please select the discipline in which you work. Please select all that apply. [Hospitality, Leisure, Recreation & Tourism]","Hospitality, Leisure, Recreation & Tourism"
