,socio1_0,socio2_0,socio2[other]_0
0,Australia,Male,
1,Australia,Male,
2,Australia,Male,
3,Australia,Male,
5,Australia,Male,
6,Australia,Male,
7,Australia,Female,
8,Australia,Male,
10,Australia,Male,
11,Australia,Prefer not to say,
12,Australia,Male,
13,Australia,Male,
14,Australia,Female,
15,Australia,Male,
17,Australia,Male,
18,Australia,Male,
20,Australia,Male,
21,Australia,Female,
22,Australia,Male,
24,Australia,Female,
25,Australia,Female,
26,Australia,Prefer not to say,
27,Australia,Female,
28,Australia,Male,
29,Australia,Male,
30,Australia,Male,
31,Australia,Male,
32,Australia,Male,
34,Australia,Male,
35,Australia,Male,
36,Australia,Female,genderqueer
37,Australia,Female,
38,Australia,Male,
39,Australia,Male,
40,Australia,Male,
41,Australia,Male,
42,Australia,Male,
43,Australia,Male,
44,Australia,Male,
45,Australia,Male,
46,Australia,Male,
47,Australia,Male,
48,Australia,Male,
49,Australia,Male,
50,Australia,Male,
51,Australia,Male,
52,Australia,Male,
53,Australia,Male,
54,Australia,Male,
55,Australia,Male,
57,Australia,Female,
58,Australia,Male,
59,Australia,Female,
60,Australia,Male,
62,Australia,Male,
63,Australia,Male,
64,Australia,Male,
65,Australia,Female,
66,Australia,Male,
67,Australia,Male,
68,Australia,Male,
69,Australia,Male,
70,Australia,Female,
72,Australia,Male,
76,Australia,Male,
77,Australia,Male,
78,Australia,Male,
79,Australia,Male,
80,Australia,Male,
81,Australia,Male,
82,Australia,Male,
83,Australia,Male,
84,Australia,Male,
85,Australia,Male,
86,Australia,Male,
87,Australia,Male,
88,Australia,Male,
90,Australia,Male,
91,Australia,Prefer not to say,
93,Australia,Male,
94,Australia,Male,
95,Australia,Male,
97,Australia,Male,
98,Australia,Male,
99,Belgium,Male,
100,Belgium,Male,
101,Belgium,Male,
103,Botswana,Male,
104,Botswana,Male,
106,Brazil,Male,
107,Brazil,Female,
121,Czech Republic,Male,
122,Czech Republic,Male,
123,Czech Republic,Male,
124,Czech Republic,Male,
126,Denmark,Male,
127,Denmark,Male,
128,Denmark,Male,
129,Ethiopia,Male,
130,France,Male,
132,France,Female,
136,Germany,Male,
137,Germany,Male,
138,Germany,Male,
139,Germany,Male,
140,Germany,Male,
141,Germany,Male,
142,Germany,Male,
143,Germany,Male,
144,Germany,Female,
145,Germany,Male,
146,Germany,Male,
147,Germany,Male,
