,socio1_0,socio5
0,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
1,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
2,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
3,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
4,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
5,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
6,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
7,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
8,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
9,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
10,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
11,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
12,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
13,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
14,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
15,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
16,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
17,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
18,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
19,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
20,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
21,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
22,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
23,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
24,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
25,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
26,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
27,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
28,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
29,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
30,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
31,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
32,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
33,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
34,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
35,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
36,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
37,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
38,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
39,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
40,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
41,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
42,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
43,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
44,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
45,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
46,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
47,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
48,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
49,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
50,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
51,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
52,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
53,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
54,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
55,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
56,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
57,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
58,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
59,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
60,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
61,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
62,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
63,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
64,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
65,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
66,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
67,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
68,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
69,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
70,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
71,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
72,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
73,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
74,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
75,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
76,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
77,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
78,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
79,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
80,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
81,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
82,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
83,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
84,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
85,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
86,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
87,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
88,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
89,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
90,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
91,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
92,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
93,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
94,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
95,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
96,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
97,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
98,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
99,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
100,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
101,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
102,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
103,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
104,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
105,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
106,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
107,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
108,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
109,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
110,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
111,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
112,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
113,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
114,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
115,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
116,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
117,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
118,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
119,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
120,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
121,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
122,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
123,United Kingdom,White: English / Welsh / Scottish / Northern Irish / British
124,United Kingdom,White: Irish
125,United Kingdom,White: Irish
126,United Kingdom,White: Irish
127,United Kingdom,White: Irish
128,United Kingdom,White: Irish
129,United Kingdom,White: Irish
130,United Kingdom,White: Irish
131,United Kingdom,White: Irish
132,United Kingdom,White: Irish
133,United Kingdom,White: Irish
134,United Kingdom,White: Any other White background
135,United Kingdom,White: Any other White background
136,United Kingdom,White: Any other White background
137,United Kingdom,White: Any other White background
138,United Kingdom,White: Any other White background
139,United Kingdom,White: Any other White background
140,United Kingdom,White: Any other White background
141,United Kingdom,White: Any other White background
142,United Kingdom,White: Any other White background
143,United Kingdom,White: Any other White background
144,United Kingdom,White: Any other White background
145,United Kingdom,White: Any other White background
146,United Kingdom,White: Any other White background
147,United Kingdom,White: Any other White background
148,United Kingdom,White: Any other White background
149,United Kingdom,White: Any other White background
150,United Kingdom,White: Any other White background
151,United Kingdom,White: Any other White background
152,United Kingdom,White: Any other White background
153,United Kingdom,White: Any other White background
154,United Kingdom,White: Any other White background
155,United Kingdom,White: Any other White background
156,United Kingdom,White: Any other White background
157,United Kingdom,White: Any other White background
158,United Kingdom,White: Any other White background
159,United Kingdom,White: Any other White background
160,United Kingdom,White: Any other White background
161,United Kingdom,White: Any other White background
162,United Kingdom,White: Any other White background
163,United Kingdom,White: Any other White background
164,United Kingdom,White: Any other White background
165,United Kingdom,White: Any other White background
166,United Kingdom,White: Any other White background
167,United Kingdom,White: Any other White background
168,United Kingdom,White: Any other White background
169,United Kingdom,White: Any other White background
170,United Kingdom,White: Any other White background
171,United Kingdom,White: Any other White background
172,United Kingdom,White: Any other White background
173,United Kingdom,White: Any other White background
174,United Kingdom,White: Any other White background
175,United Kingdom,White: Any other White background
176,United Kingdom,White: Any other White background
177,United Kingdom,White: Any other White background
178,United Kingdom,White: Any other White background
179,United Kingdom,White: Any other White background
180,United Kingdom,White: Any other White background
181,United Kingdom,White: Any other White background
182,United Kingdom,White: Any other White background
183,United Kingdom,White: Any other White background
184,United Kingdom,White: Any other White background
185,United Kingdom,White: Any other White background
186,United Kingdom,White: Any other White background
187,United Kingdom,White: Any other White background
188,United Kingdom,White: Any other White background
189,United Kingdom,White: Any other White background
190,United Kingdom,White: Any other White background
191,United Kingdom,White: Any other White background
192,United Kingdom,Mixed / Multiple Ethnic groups: White and Asian
193,United Kingdom,"Mixed / Multiple Ethnic groups: Any other Mixed / Multiple ethnic background,"
194,United Kingdom,"Mixed / Multiple Ethnic groups: Any other Mixed / Multiple ethnic background,"
195,United Kingdom,"Mixed / Multiple Ethnic groups: Any other Mixed / Multiple ethnic background,"
196,United Kingdom,"Mixed / Multiple Ethnic groups: Any other Mixed / Multiple ethnic background,"
197,United Kingdom,Asian / Asian British: Indian
198,United Kingdom,Asian / Asian British: Indian
199,United Kingdom,Asian / Asian British: Bangladeshi
200,United Kingdom,Black / African / Caribbean / Black British: Caribbean
201,United Kingdom,Other Ethnic group: Arab
202,United Kingdom,Other Ethnic group: Arab
203,United Kingdom,Do not wish to declare
204,United Kingdom,Do not wish to declare
205,United Kingdom,Do not wish to declare
206,United Kingdom,Do not wish to declare
207,United Kingdom,Do not wish to declare
208,United Kingdom,Do not wish to declare
209,United Kingdom,Do not wish to declare
210,United States,White
211,United States,White
212,United States,White
213,United States,White
214,United States,White
215,United States,White
216,United States,White
217,United States,White
218,United States,White
219,United States,White
220,United States,White
221,United States,White
222,United States,White
223,United States,White
224,United States,White
225,United States,White
226,United States,White
227,United States,White
228,United States,White
229,United States,White
230,United States,White
231,United States,White
232,United States,White
233,United States,White
234,United States,White
235,United States,White
236,United States,White
237,United States,White
238,United States,White
239,United States,White
240,United States,White
241,United States,White
242,United States,White
243,United States,White
244,United States,White
245,United States,White
246,United States,White
247,United States,White
248,United States,White
249,United States,White
250,United States,White
251,United States,White
252,United States,White
253,United States,White
254,United States,White
255,United States,White
256,United States,White
257,United States,White
258,United States,White
259,United States,White
260,United States,White
261,United States,White
262,United States,White
263,United States,White
264,United States,White
265,United States,White
266,United States,White
267,United States,White
268,United States,White
269,United States,White
270,United States,White
271,United States,White
272,United States,White
273,United States,White
274,United States,White
275,United States,White
276,United States,White
277,United States,White
278,United States,White
279,United States,White
280,United States,White
281,United States,White
282,United States,White
283,United States,White
284,United States,White
285,United States,White
286,United States,White
287,United States,White
288,United States,White
289,United States,White
290,United States,White
291,United States,White
292,United States,White
293,United States,White
294,United States,White
295,United States,White
296,United States,White
297,United States,White
298,United States,White
299,United States,White
300,United States,White
301,United States,White
302,United States,White
303,United States,White
304,United States,White
305,United States,White
306,United States,White
307,United States,White
308,United States,White
309,United States,White
310,United States,White
311,United States,White
312,United States,White
313,United States,White
314,United States,White
315,United States,White
316,United States,White
317,United States,White
318,United States,White
319,United States,White
320,United States,White
321,United States,White
322,United States,White
323,United States,White
324,United States,Black or African American
325,United States,Black or African American
326,United States,Black or African American
327,United States,Asian
328,United States,Asian
329,United States,Asian
330,United States,Asian
331,United States,Asian
332,United States,Asian
333,United States,Asian
334,United States,American Indian and Alaska Native
335,United States,Some other race
336,United States,Some other race
337,United States,Some other race
338,United States,Do not wish to answer
339,United States,Do not wish to answer
340,United States,Do not wish to answer
341,United States,Do not wish to answer
342,United States,Do not wish to answer
343,United States,Do not wish to answer
344,United States,Do not wish to answer
345,United States,
346,United States,
347,United States,
348,United States,
349,United States,
350,United States,
351,United States,
352,United States,
