,Year_0,row_id,currentEmp13aus
0,2022,2022_375,Biological sciences
1,2022,2022_376,Biological sciences
2,2022,2022_507,Biological sciences
3,2022,2022_874,Biological sciences
4,2022,2022_1030,Biological sciences
5,2022,2022_1051,Biological sciences
6,2022,2022_1055,Biological sciences
7,2022,2022_98,Biomedical and clinical sciences
8,2022,2022_375,Biomedical and clinical sciences
9,2022,2022_377,Biomedical and clinical sciences
10,2022,2022_507,Biomedical and clinical sciences
11,2022,2022_1050,Biomedical and clinical sciences
12,2022,2022_1061,Biomedical and clinical sciences
13,2022,2022_1229,Biomedical and clinical sciences
14,2022,2022_421,Built environment and design
15,2022,2022_948,Built environment and design
16,2022,2022_1054,Built environment and design
17,2022,2022_1069,Built environment and design
18,2022,2022_1229,Built environment and design
19,2022,2022_391,Chemical sciences
20,2022,2022_442,Chemical sciences
21,2022,2022_621,Chemical sciences
22,2022,2022_1053,Chemical sciences
23,2022,2022_421,"Commerce, management, tourism and services"
24,2022,2022_948,"Commerce, management, tourism and services"
25,2022,2022_1054,"Commerce, management, tourism and services"
26,2022,2022_1069,"Commerce, management, tourism and services"
27,2022,2022_1229,Creative arts and writing
28,2022,2022_108,Earth sciences
29,2022,2022_392,Earth sciences
30,2022,2022_548,Earth sciences
31,2022,2022_554,Earth sciences
32,2022,2022_621,Earth sciences
33,2022,2022_1070,Earth sciences
34,2022,2022_678,Economics
35,2022,2022_1069,Economics
36,2022,2022_1229,Economics
37,2022,2022_421,Education
38,2022,2022_948,Education
39,2022,2022_1069,Education
40,2022,2022_421,Engineering
41,2022,2022_948,Engineering
42,2022,2022_1054,Engineering
43,2022,2022_1069,Engineering
44,2022,2022_1229,Engineering
45,2022,2022_874,Environmental sciences
46,2022,2022_1030,Environmental sciences
47,2022,2022_1054,Environmental sciences
48,2022,2022_1055,Environmental sciences
49,2022,2022_1069,Environmental sciences
50,2022,2022_377,Health sciences
51,2022,2022_379,Health sciences
52,2022,2022_421,Health sciences
53,2022,2022_508,Health sciences
54,2022,2022_948,Health sciences
55,2022,2022_1069,Health sciences
56,2022,2022_421,"History, heritage and archaeology"
57,2022,2022_948,"History, heritage and archaeology"
58,2022,2022_1054,"History, heritage and archaeology"
59,2022,2022_1229,"History, heritage and archaeology"
60,2022,2022_948,Human society
61,2022,2022_1054,Human society
62,2022,2022_1069,Human society
63,2022,2022_1229,Human society
64,2022,2022_1069,Indigenous studies
65,2022,2022_1229,Indigenous studies
66,2022,2022_377,Information and computing sciences
67,2022,2022_378,Information and computing sciences
68,2022,2022_380,Information and computing sciences
69,2022,2022_421,Information and computing sciences
70,2022,2022_507,Information and computing sciences
71,2022,2022_621,Information and computing sciences
72,2022,2022_625,Information and computing sciences
73,2022,2022_948,Information and computing sciences
74,2022,2022_1054,Information and computing sciences
75,2022,2022_1057,Information and computing sciences
76,2022,2022_1069,Information and computing sciences
77,2022,2022_1229,Information and computing sciences
78,2022,2022_421,"Language, communication and culture"
79,2022,2022_948,"Language, communication and culture"
80,2022,2022_1054,"Language, communication and culture"
81,2022,2022_1069,"Language, communication and culture"
82,2022,2022_1229,"Language, communication and culture"
83,2022,2022_1069,Law and legal studies
84,2022,2022_1055,Mathematical sciences
85,2022,2022_1070,Mathematical sciences
86,2022,2022_1229,Philosophy and religious studies
87,2022,2022_375,Physical sciences
88,2022,2022_378,Physical sciences
89,2022,2022_391,Physical sciences
90,2022,2022_442,Physical sciences
91,2022,2022_621,Physical sciences
92,2022,2022_1053,Physical sciences
93,2022,2022_567,Psychology
94,2022,2022_1069,Psychology
