,New_name,Old_name,Question,Option
0,submitdate_0,submitdate. Date submitted, Date submitted,
1,lastpage_0,lastpage. Last page, Last page,
2,startlanguage_0,startlanguage. Start language, Start language,
3,startdate_0,startdate. Date started, Date started,
4,socio1_0,socio1. In which country do you work?, In which country do you work?,
5,rse1_0,rse1. Do you write software for academic research as part of your job, Do you write software for academic research as part of your job,
6,edu1qde_0,edu1qde. What is the highest level of education you have attained?, What is the highest level of education you have attained?,
7,edu1qnl_0,edu1qnl. What is the highest level of education you have attained?, What is the highest level of education you have attained?,
8,edu1qus_0,edu1qus. What is the highest level of education you have attained?, What is the highest level of education you have attained?,
9,edu1quk_0,edu1quk. What is the highest level of education you have attained?, What is the highest level of education you have attained?,
10,edu1qnzl_0,edu1qnzl. What is the highest level of education you have attained?, What is the highest level of education you have attained?,
11,edu1qcan_0,edu1qcan. What is the highest level of education you have attained?, What is the highest level of education you have attained?,
12,edu1qaus_0,edu1qaus. What is the highest level of education you have attained?, What is the highest level of education you have attained?,
13,edu1qnord_0,edu1qnord. What is the highest level of education you have attained?, What is the highest level of education you have attained?,
14,edu1qworld_0,edu1qworld. What is the highest level of education you have attained?, What is the highest level of education you have attained?,
15,edu2_0,edu2. In which discipline is your highest academic qualification?, In which discipline is your highest academic qualification?,
16,edu2qaus_0,edu2qaus. In which discipline is your highest academic qualification?, In which discipline is your highest academic qualification?,
17,edu4_0,"edu4. List any professional qualifications you hold (eg. P. Eng, PMP, …)?"," List any professional qualifications you hold (eg. P. Eng, PMP, …)?",
18,rse4de_0,rse4de. Does the majority of your role comprise leading a group of software developers or RSEs?, Does the majority of your role comprise leading a group of software developers or RSEs?,
19,rse3_0,rse3. Who uses the code that you write?, Who uses the code that you write?,
20,soft2can_0,soft2can. Do you consider yourself a professional software developer?, Do you consider yourself a professional software developer?,
21,soft1can_0,soft1can. How many years of software development experience do you have?, How many years of software development experience do you have?,
22,time1can_0,"time1can. On average, how much of your time is spent developing software?"," On average, how much of your time is spent developing software?",
23,time2can_0,"time2can. On average, how much of your time is spent on research"," On average, how much of your time is spent on research",
24,time3can_0,"time3can. On average, how much of your time is spent on management"," On average, how much of your time is spent on management",
25,time4can_0,"time4can. On average, how much of your time is spent on teaching"," On average, how much of your time is spent on teaching",
26,time5can_0,"time5can. On average, how much of your time is spent on other activities"," On average, how much of your time is spent on other activities",
27,timeLike6zaf_0,"timeLike6zaf. In an average month, how much time would you like to spend on software development?"," In an average month, how much time would you like to spend on software development?",
28,timeLike7zaf_0,"timeLike7zaf. In an average month, how much time would you like to spend on research"," In an average month, how much time would you like to spend on research",
29,timeLike8zaf_0,"timeLike8zaf. In an average month, how much time would you like to spend on management"," In an average month, how much time would you like to spend on management",
30,timeLike9zaf_0,"timeLike9zaf. In an average month, how much time would you like to spend on teaching"," In an average month, how much time would you like to spend on teaching",
31,timeLike10zaf_0,"timeLike10zaf. In an average month, how much time would you like to spend on other activities"," In an average month, how much time would you like to spend on other activities",
32,currentEmp1_0,currentEmp1. Please select your organization type, Please select your organization type,
33,currentEmp1[other]_0,currentEmp1[other]. Please select your organization type [Other], Please select your organization type [Other],Other
34,currentEmp1qde_0,currentEmp1qde. Please select your organization type, Please select your organization type,
35,currentEmp1qde[other]_0,currentEmp1qde[other]. Please select your organization type [Other], Please select your organization type [Other],Other
36,currentEmp1nl_0,currentEmp1nl. Please select your organization type, Please select your organization type,
37,currentEmp1nl[other]_0,currentEmp1nl[other]. Please select your organization type [Other], Please select your organization type [Other],Other
38,currentEmp20deqde_0,currentEmp20deqde. Which Fraunhofer institute do you work for?, Which Fraunhofer institute do you work for?,
39,currentEmp20deqde[other]_0,currentEmp20deqde[other]. Which Fraunhofer institute do you work for? [Other], Which Fraunhofer institute do you work for? [Other],Other
40,currentEmp21deqde_0,currentEmp21deqde. Which Helmholtz institute do you work for?, Which Helmholtz institute do you work for?,
41,currentEmp22deqde_0,currentEmp22deqde. Which Leibniz institute do you work for?, Which Leibniz institute do you work for?,
42,currentEmp23deqde_0,currentEmp23deqde. Which Max-Planck institute do you work for?, Which Max-Planck institute do you work for?,
43,currentEmp23deqde[other]_0,currentEmp23deqde[other]. Which Max-Planck institute do you work for? [Other], Which Max-Planck institute do you work for? [Other],Other
44,currentEmp24deqde_0,currentEmp24deqde. Which University of Applied Sciences do you work for?, Which University of Applied Sciences do you work for?,
45,currentEmp20qus_0,currentEmp20qus. Which national laboratory do you work for?, Which national laboratory do you work for?,
46,currentEmp20qus[other]_0,currentEmp20qus[other]. Which national laboratory do you work for? [Other], Which national laboratory do you work for? [Other],Other
47,currentEmp5_0,currentEmp5. What is your official job title?, What is your official job title?,
48,currentEmp6_0,currentEmp6. Are you known in your group by a different job title?, Are you known in your group by a different job title?,
49,currentEmp60_0,currentEmp60. Please enter the job title you use., Please enter the job title you use.,
50,currentEmp12_0,currentEmp12. Do you work full time or part time, Do you work full time or part time,
51,currentEmp9_0,currentEmp9. When did you start your current position?, When did you start your current position?,
52,currentEmp10_0,currentEmp10. What is the nature of your current employment?, What is the nature of your current employment?,
53,currentEmp11_0,currentEmp11. What is the expected duration (in years) of your current position (in total)?, What is the expected duration (in years) of your current position (in total)?,
54,currentEmp13_0,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Accounting & Finance], Please select the discipline in which you work. Please select all that apply. [Accounting & Finance],Accounting & Finance
55,currentEmp13_1,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Aeronautical & Manufacturing Engineering], Please select the discipline in which you work. Please select all that apply. [Aeronautical & Manufacturing Engineering],Aeronautical & Manufacturing Engineering
56,currentEmp13_2,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Agriculture & Forestry], Please select the discipline in which you work. Please select all that apply. [Agriculture & Forestry],Agriculture & Forestry
57,currentEmp13_3,currentEmp13. Please select the discipline in which you work. Please select all that apply. [American Studies], Please select the discipline in which you work. Please select all that apply. [American Studies],American Studies
58,currentEmp13_4,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Anatomy & Physiology], Please select the discipline in which you work. Please select all that apply. [Anatomy & Physiology],Anatomy & Physiology
59,currentEmp13_5,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Anthropology], Please select the discipline in which you work. Please select all that apply. [Anthropology],Anthropology
60,currentEmp13_6,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Architecture], Please select the discipline in which you work. Please select all that apply. [Architecture],Architecture
61,currentEmp13_7,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Art & Design], Please select the discipline in which you work. Please select all that apply. [Art & Design],Art & Design
62,currentEmp13_8,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Biological Sciences], Please select the discipline in which you work. Please select all that apply. [Biological Sciences],Biological Sciences
63,currentEmp13_9,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Business & Management Studies], Please select the discipline in which you work. Please select all that apply. [Business & Management Studies],Business & Management Studies
64,currentEmp13_10,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Chemical Engineering], Please select the discipline in which you work. Please select all that apply. [Chemical Engineering],Chemical Engineering
65,currentEmp13_11,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Chemistry], Please select the discipline in which you work. Please select all that apply. [Chemistry],Chemistry
66,currentEmp13_12,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Civil Engineering], Please select the discipline in which you work. Please select all that apply. [Civil Engineering],Civil Engineering
67,currentEmp13_13,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Classics & Ancient History], Please select the discipline in which you work. Please select all that apply. [Classics & Ancient History],Classics & Ancient History
68,currentEmp13_14,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Communication & Media Studies], Please select the discipline in which you work. Please select all that apply. [Communication & Media Studies],Communication & Media Studies
